model_key,mileage,engine_power,fuel,paint_color,car_type,private_parking_available,has_gps,has_air_conditioning,automatic_car,has_getaround_connect,has_speed_regulator,winter_tires,rental_price_per_day,model_key_,fuel_,paint_color_,factorized_model_key,factorized_fuel,factorized_paint_color,factorized_car_type,factorized_private_parking_available,factorized_has_gps,factorized_has_air_conditioning,factorized_automatic_car,factorized_has_getaround_connect,factorized_has_speed_regulator,factorized_winter_tires,factorized_model_key_,factorized_fuel_,factorized_paint_color_
Peugeot,123340,105,diesel,brown,estate,False,True,False,False,False,True,True,119,Peugeot,diesel,brown,1,0,8,2,1,0,0,0,1,0,0,1,0,8
Peugeot,168068,100,diesel,grey,estate,False,True,False,False,False,False,True,89,Peugeot,diesel,grey,1,0,4,2,1,0,0,0,1,1,0,1,0,4
Citroën,163601,120,diesel,beige,estate,False,True,False,False,False,False,True,108,Citroën,diesel,beige,0,0,7,2,1,0,0,0,1,1,0,0,0,7
Citroën,149108,135,diesel,white,estate,False,True,True,False,False,False,True,106,Citroën,diesel,white,0,0,1,2,1,0,1,0,1,1,0,0,0,1
Renault,173446,135,diesel,black,estate,True,True,False,False,True,False,True,125,Renault,diesel,black,3,0,0,2,0,0,0,0,0,1,0,3,0,0
Citroën,197516,135,diesel,black,estate,True,True,False,False,False,False,True,100,Citroën,diesel,black,0,0,0,2,0,0,0,0,1,1,0,0,0,0
Peugeot,170832,100,diesel,blue,estate,True,True,False,False,False,False,True,101,Peugeot,diesel,blue,1,0,5,2,0,0,0,0,1,1,0,1,0,5
Citroën,149085,135,diesel,black,estate,True,True,False,False,True,False,True,122,Citroën,diesel,black,0,0,0,2,0,0,0,0,0,1,0,0,0,0
Audi,255957,230,diesel,grey,estate,True,True,True,True,True,True,True,133,Audi,diesel,grey,4,0,4,2,0,0,1,1,0,0,0,4,0,4
Renault,175024,135,diesel,blue,estate,True,True,True,False,True,True,True,117,Renault,diesel,blue,3,0,5,2,0,0,1,0,0,0,0,3,0,5
Peugeot,132731,100,diesel,grey,estate,True,True,False,False,False,False,True,112,Peugeot,diesel,grey,1,0,4,2,0,0,0,0,1,1,0,1,0,4
Audi,214691,120,diesel,black,estate,True,True,False,False,True,False,True,71,Audi,diesel,black,4,0,0,2,0,0,0,0,0,1,0,4,0,0
Citroën,177568,120,diesel,brown,estate,False,True,False,False,False,False,True,101,Citroën,diesel,brown,0,0,8,2,1,0,0,0,1,1,0,0,0,8
Citroën,106878,135,diesel,white,estate,False,True,False,False,True,True,True,124,Citroën,diesel,white,0,0,1,2,1,0,0,0,0,0,0,0,0,1
Peugeot,144727,105,diesel,white,estate,False,True,True,False,True,True,True,120,Peugeot,diesel,white,1,0,1,2,1,0,1,0,0,0,0,1,0,1
Audi,46731,140,diesel,blue,estate,False,False,False,False,False,False,False,109,Audi,diesel,blue,4,0,5,2,1,1,0,0,1,1,1,4,0,5
Peugeot,164900,100,diesel,silver,estate,False,True,False,False,False,False,True,85,Peugeot,diesel,silver,1,0,3,2,1,0,0,0,1,1,0,1,0,3
Peugeot,150002,100,diesel,red,estate,False,True,False,False,False,True,True,103,Peugeot,diesel,red,1,0,2,2,1,0,0,0,1,0,0,1,0,2
Renault,117872,85,diesel,black,estate,True,True,False,False,False,False,True,102,Renault,diesel,black,3,0,0,2,0,0,0,0,1,1,0,3,0,0
Citroën,66314,135,diesel,white,estate,False,False,False,False,False,False,False,127,Citroën,diesel,white,0,0,1,2,1,1,0,0,1,1,1,0,0,1
Peugeot,216114,105,diesel,blue,estate,False,True,False,False,False,False,True,99,Peugeot,diesel,blue,1,0,5,2,1,0,0,0,1,1,0,1,0,5
Peugeot,159505,100,diesel,grey,estate,False,False,False,False,False,False,True,100,Peugeot,diesel,grey,1,0,4,2,1,1,0,0,1,1,0,1,0,4
Citroën,221904,100,diesel,blue,estate,True,False,False,False,True,False,True,35,Citroën,diesel,blue,0,0,5,2,0,1,0,0,0,1,0,0,0,5
Renault,147243,120,diesel,blue,estate,True,True,True,False,True,False,True,128,Renault,diesel,blue,3,0,5,2,0,0,1,0,0,1,0,3,0,5
Audi,140638,160,diesel,black,estate,True,True,False,False,True,True,True,133,Audi,diesel,black,4,0,0,2,0,0,0,0,0,0,0,4,0,0
Citroën,123796,135,diesel,black,estate,True,True,False,False,True,True,True,125,Citroën,diesel,black,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Renault,201102,85,diesel,black,estate,True,False,False,False,False,False,True,94,Renault,diesel,black,3,0,0,2,0,1,0,0,1,1,0,3,0,0
Peugeot,238592,90,diesel,grey,estate,False,True,False,False,False,False,True,62,Peugeot,diesel,grey,1,0,4,2,1,0,0,0,1,1,0,1,0,4
Peugeot,182798,105,diesel,white,estate,True,False,False,False,False,False,True,102,Peugeot,diesel,white,1,0,1,2,0,1,0,0,1,1,0,1,0,1
